Year,Month,Temp,Elec
1997,1,19.8,114.51
1997,2,18.34,107.91
1997,3,21.15,102.51
1997,4,20.39,105.74
1997,5,21.65,116.53
1997,6,21.25,122.7
1997,7,23,127.93
1997,8,23.54,128.67
1997,9,18.52,123.49
1997,10,19.62,125.86
1997,11,22.8,128.57
1997,12,24.58,126.48
1998,1,22.64,121.31
1998,2,21.93,111.57
1998,3,23.49,102.01
1998,4,21.89,104.93
1998,5,21.29,114.33
1998,6,19.15,119.28
1998,7,21.01,125.78
1998,8,23.03,130.28
1998,9,19.51,132.1
1998,10,19.99,126.09
1998,11,21.59,123.65
1998,12,22.39,120.47
1999,1,20.69,122.17
1999,2,21.33,117.85
1999,3,22.46,108.5
1999,4,20.68,112.17
1999,5,21.32,122.95
1999,6,20.37,126.08
1999,7,21.56,125.94
1999,8,21.42,125.17
1999,9,18.84,125.83
1999,10,19.55,125.53
1999,11,20.98,124.37
1999,12,21.73,124.03
2000,1,21.59,121.08
2000,2,21.8,113.36
2000,3,21.14,104.52
2000,4,19.78,108.77
2000,5,20.34,117.2
2000,6,19.85,120.29
2000,7,22.48,115.34
2000,8,23.51,117.64
2000,9,19.51,122.97
2000,10,18.99,128.42
2000,11,19.92,130.38
2000,12,21.08,127.26
2001,1,22.86,117.53
2001,2,22.72,107.91
2001,3,21.16,98.09
2001,4,20.08,103.87
2001,5,20.32,120.4
2001,6,18.9,121.82
2001,7,22.17,116.75
2001,8,24.17,119.27
2001,9,20.32,120.18
2001,10,15.74,125.83
2001,11,17.29,132.37
2001,12,20.38,132.25
2002,1,23.14,126.49
2002,2,23.84,112.77
2002,3,22.83,102.68
2002,4,22.03,104.62
2002,5,20.63,119.09
2002,6,18.64,125.21
2002,7,21.69,119.75
2002,8,23.58,118.64
2002,9,19.99,117.48
2002,10,16.25,117.02
2002,11,16.93,126.18
2002,12,18.37,128.29
2003,1,20.81,125
2003,2,22.52,120.47
2003,3,23.94,114.98
2003,4,22.57,113.13
2003,5,20.62,121.52
2003,6,19,126.78
2003,7,20.99,121.38
2003,8,22.67,120.49
2003,9,19.72,117.06
2003,10,16.48,118.96
2003,11,18.75,120.85
2003,12,20.9,122.51
2004,1,21.08,126.15
2004,2,21.19,123.25
2004,3,22.18,118.04
2004,4,22.13,113.49
2004,5,21.42,116.91
2004,6,20.84,119.72
2004,7,22.63,119.36
2004,8,23.95,120.55
2004,9,20.45,119.94
2004,10,17.69,125.45
2004,11,19.4,123.38
2004,12,20.76,121.02
2005,1,21.17,125.47
2005,2,21.05,124.85
2005,3,21.13,119.31
2005,4,22.44,116.47
2005,5,23.54,122.5
2005,6,22.27,124.2
2005,7,21.77,117.78
2005,8,22.53,118.78
2005,9,19.48,120.94
2005,10,15.73,127.27
2005,11,17.57,129.22
2005,12,20.1,129.61
2006,1,21.33,133.94
2006,2,23.1,133.56
2006,3,22.64,125.82
2006,4,20.74,116.5
2006,5,21.56,123.12
2006,6,22.63,127.71